word,frequency,rank
"jeg",3419469,1
"det",3401135,2
"er",3350540,3
"du",2547246,4
"ikke",1928834,5
"at",1517790,6
"en",1401564,7
"og",1295114,8
"har",1243797,9
"vi",1094658,10
"til",976099,11
"på",940216,12
"hvad",865199,13
"med",858066,14
"så",836679,15
"for",829365,16
"mig",822776,17
"der",802452,18
"han",782685,19
"dig",778493,20
"de",764095,21
"den",761875,22
"kan",725548,23
"af",646419,24
"var",643823,25
"vil",624428,26
"her",538408,27
"et",526184,28
"skal",523551,29
"men",494950,30
"ved",476495,31
"om",460911,32
"nu",416585,33
"ja",408103,34
"som",390810,35
"hun",382509,36
"nej",366467,37
"min",360316,38
"noget",351419,39
"ham",339946,40
"være",307877,41
"bare",306196,42
"din",301858,43
"hvor",288470,44
"må",281583,45
"hvis",277500,46
"os",268505,47
"kom",268009,48
"ud",266770,49
"dem",261499,50
"godt",247079,51
"fra",245827,52
"have",245785,53
"ville",239442,54
"se",232244,55
"gør",216934,56
"okay",198069,57
"hvorfor",187845,58
"alle",186660,59
"lige",185629,60
"op",180367,61
"hende",175652,62
"sig",173267,63
"hvordan",169952,64
"tror",167861,65
"tak",163300,66
"gøre",161957,67
"kunne",156788,68
"lad",155461,69
"kommer",155261,70
"havde",154149,71
"eller",153892,72
"meget",152358,73
"nok",147751,74
"få",147661,75
"da",147239,76
"ingen",146257,77
"man",146049,78
"gå",141396,79
"går",140910,80
"hvem",140771,81
"bliver",139948,82
"efter",138223,83
"sagde",136941,84
"tilbage",134744,85
"når",133659,86
"alt",133500,87
"måske",129293,88
"også",123365,89
"jo",121260,90
"mit",120118,91
"ind",118938,92
"vores",117961,93
"hej",117948,94
"mere",116119,95
"hans",116060,96
"skulle",115590,97
"blev",115363,98
"nogen",115337,99
"lidt",115164,100
"aldrig",114506,101
"får",114076,102
"siger",112633,103
"selv",112567,104
"far",112385,105
"over",111775,106
"to",111241,107
"kun",105620,108
"sådan",104978,109
"ser",103620,110
"dit",101387,111
"jer",100849,112
"igen",100647,113
"mor",99847,114
"sammen",99782,115
"tager",97673,116
"mand",93704,117
"hele",93058,118
"deres",89794,119
"dag",89619,120
"tage",88133,121
"mine",88079,122
"sige",87155,123
"gjorde",86707,124
"fordi",86690,125
"end",85842,126
"undskyld",85702,127
"før",85624,128
"været",85155,129
"komme",85103,130
"hold",83629,131
"væk",83298,132
"dette",81478,133
"blive",81255,134
"ned",80557,135
"helt",80000,136
"fik",79857,137
"tid",78253,138
"denne",77076,139
"god",76877,140
"gang",76622,141
"laver",75209,142
"nogle",74874,143
"sted",72864,144
"mange",71637,145
"folk",69858,146
"dine",69317,147
"tale",68945,148
"mener",68143,149
"tag",67308,150
"ting",67239,151
"siden",67180,152
"finde",65537,153
"altid",65433,154
"brug",65365,155
"stadig",63736,156
"hjem",62844,157
"virkelig",62062,158
"fint",59849,159
"anden",59516,160
"lille",59077,161
"kender",59063,162
"andre",58736,163
"elsker",58386,164
"liv",58179,165
"intet",58064,166
"tog",57781,167
"ret",57053,168
"gerne",56442,169
"uden",56205,170
"vent",55620,171
"hendes",54136,172
"vel",54053,173
"lide",54001,174
"hjælpe",53151,175
"set",53048,176
"mod",52347,177
"troede",52039,178
"tre",51802,179
"vide",51484,180
"gud",51469,181
"gik",51413,182
"klar",50972,183
"bedre",50722,184
"vej",50122,185
"gjort",49544,186
"sidste",49154,187
"sker",49036,188
"død",48988,189
"samme",47878,190
"vidste",47639,191
"sin",46569,192
"fanden",46063,193
"forstår",45916,194
"arbejde",45753,195
"nå",45711,196
"hør",45503,197
"første",45483,198
"giv",45288,199
"penge",45275,200
"hjælp",44841,201
"andet",44482,202
"hen",44470,203
"ven",44434,204
"giver",43957,205
"aften",43812,206
"blevet",43798,207
"jeres",43656,208
"give",43463,209
"burde",42924,210
"høre",41485,211
"taler",40860,212
"længe",40431,213
"eneste",40389,214
"morgen",40164,215
"endnu",39875,216
"under",39856,217
"holde",39721,218
"fandt",39646,219
"bruge",39341,220
"skat",38967,221
"synes",38497,222
"bedste",38472,223
"står",38060,224
"venner",37784,225
"fortælle",37550,226
"sikker",37421,227
"finder",37346,228
"vær",37179,229
"navn",37010,230
"skete",36853,231
"måde",36468,232
"tro",36380,233
"døde",36273,234
"sikkert",35997,235
"hos",34785,236
"selvfølgelig",34516,237
"holder",34030,238
"par",33976,239
"hedder",33894,240
"nødt",33820,241
"flere",33622,242
"fået",33588,243
"behøver",33306,244
"hver",33077,245
"først",33014,246
"engang",32444,247
"vist",32416,248
"verden",32312,249
"betyder",32049,250
"ude",32007,251
"ellers",31991,252
"snart",31834,253
"stop",31829,254
"stor",31801,255
"sir",31420,256
"bange",31366,257
"børn",31329,258
"næste",31005,259
"faktisk",30966,260
"gav",30419,261
"søn",30270,262
"pige",30269,263
"fyr",30210,264
"prøver",29907,265
"ked",29787,266
"derfor",29560,267
"hallo",29055,268
"familie",28981,269
"gange",28761,270
"gode",28740,271
"tiden",28734,272
"nye",28565,273
"store",28477,274
"lade",28420,275
"lave",27998,276
"ligesom",27977,277
"alene",27682,278
"mænd",27314,279
"møde",27308,280
"ihjel",27265,281
"skyld",27263,282
"sagt",27180,283
"gamle",27164,284
"dage",27130,285
"galt",26987,286
"mennesker",26916,287
"kone",26807,288
"mr",26720,289
"altså",26717,290
"ses",26613,291
"fundet",26592,292
"allerede",26494,293
"arbejder",26388,294
"grund",26361,295
"slags",26275,296
"stille",26215,297
"fem",26136,298
"hvornår",26017,299
"taget",25578,300
"dø",25508,301
"rigtig",25488,302
"glad",25431,303
"orden",25405,304
"huske",25316,305
"længere",25295,306
"disse",24957,307
"farvel",24828,308
"slå",24800,309
"hørte",24791,310
"lyder",24738,311
"begge",24714,312
"bil",24579,313
"dræbe",24347,314
"hinanden",24299,315
"hørt",24242,316
"del",24221,317
"rigtigt",24220,318
"minutter",24131,319
"barn",24073,320
"politiet",24053,321
"fejl",24007,322
"senere",23684,323
"bilen",23583,324
"håber",23542,325
"kvinde",23492,326
"hører",23366,327
"haft",23238,328
"virker",23198,329
"herfra",23138,330
"fire",22980,331
"tænkte",22940,332
"kommet",22921,333
"sket",22897,334
"dør",22797,335
"helvede",22779,336
"hus",22741,337
"fortæl",22730,338
"rolig",22661,339
"venter",22631,340
"hurtigt",22548,341
"frem",22475,342
"klare",22428,343
"kører",22365,344
"ny",22346,345
"heller",22318,346
"spørgsmål",22296,347
"langt",22285,348
"rundt",22280,349
"bror",22234,350
"næsten",22088,351
"hvilken",22080,352
"byen",22077,353
"bliv",22004,354
"sandt",21883,355
"gået",21747,356
"livet",21707,357
"pas",21655,358
"leder",21602,359
"bør",21485,360
"indtil",21445,361
"fortalte",21429,362
"side",21378,363
"inden",21245,364
"hellere",21159,365
"ringer",21115,366
"bad",20986,367
"imod",20964,368
"videre",20927,369
"hey",20805,370
"tænker",20741,371
"lort",20703,372
"ingenting",20586,373
"mens",20578,374
"beklager",20533,375
"pis",20369,376
"sit",20334,377
"problem",20321,378
"ord",20223,379
"vejen",20184,380
"sød",20151,381
"ondt",20136,382
"dreng",20090,383
"sent",19936,384
"sjovt",19851,385
"sæt",19801,386
"klarer",19800,387
"lang",19737,388
"job",19724,389
"inde",19682,390
"datter",19675,391
"problemer",19674,392
"timer",19541,393
"hr",19473,394
"prøve",19430,395
"svært",19317,396
"køre",19240,397
"nogensinde",19229,398
"bag",19218,399
"lader",19009,400
"snakke",18862,401
"færdig",18790,402
"vise",18698,403
"stedet",18636,404
"ligner",18585,405
"ti",18558,406
"dræbte",18346,407
"egen",18280,408
"gammel",18163,409
"hjemme",18150,410
"ok",18027,411
"forbi",18003,412
"tænk",17996,413
"fantastisk",17944,414
"dog",17912,415
"bor",17853,416
"mad",17836,417
"fri",17711,418
"pengene",17701,419
"sidder",17639,420
"tænke",17595,421
"stoppe",17587,422
"john",17571,423
"gennem",17543,424
"føler",17528,425
"omkring",17476,426
"ad",17401,427
"ske",17401,428
"igennem",17362,429
"mellem",17275,430
"velkommen",17240,431
"kæft",17228,432
"måtte",17223,433
"ringe",17184,434
"hader",17136,435
"fat",17039,436
"jack",16941,437
"løb",16933,438
"stå",16912,439
"spise",16865,440
"vente",16847,441
"chance",16808,442
"flot",16683,443
"ligger",16665,444
"slet",16637,445
"nyt",16627,446
"slap",16474,447
"døren",16452,448
"våben",16417,449
"slår",16410,450
"kalder",16340,451
"husker",16301,452
"handler",16184,453
"ring",16145,454
"passer",16113,455
"hvilket",16062,456
"fortæller",16040,457
"beder",15973,458
"mest",15934,459
"lavet",15892,460
"huset",15825,461
"al",15807,462
"tæt",15611,463
"snakker",15601,464
"uge",15599,465
"seks",15579,466
"hovedet",15564,467
"spørge",15557,468
"hånd",15534,469
"søster",15516,470
"leve",15514,471
"plads",15453,472
"hjælper",15434,473
"redde",15383,474
"sgu",15362,475
"holdt",15360,476
"historie",15262,477
"sine",15225,478
"resten",15222,479
"ben",15180,480
"bruger",15089,481
"helst",15087,482
"fast",15066,483
"talte",15052,484
"dræbt",15012,485
"stort",14949,486
"glem",14945,487
"blod",14851,488
"live",14792,489
"nummer",14713,490
"the",14597,491
"kæreste",14581,492
"new",14485,493
"sandheden",14473,494
"sagen",14457,495
"jorden",14412,496
"begynder",14374,497
"måneder",14368,498
"tur",14267,499
"spille",14266,500
"kvinder",14206,501
"slog",14162,502
"nat",14122,503
"seng",14093,504
"lavede",14052,505
"valg",14020,506
"gift",14015,507
"skide",13865,508
"piger",13859,509
"ringede",13844,510
"prøv",13789,511
"fuld",13740,512
"time",13734,513
"alligevel",13722,514
"lære",13682,515
"værsgo",13614,516
"vand",13546,517
"spiller",13538,518
"drenge",13530,519
"tænkt",13427,520
"tidligere",13412,521
"kort",13375,522
"mindre",13373,523
"besked",13328,524
"talt",13327,525
"rigtige",13294,526
"prøvede",13229,527
"præcis",13215,528
"foregår",13183,529
"læg",13182,530
"masse",13146,531
"klokken",13122,532
"forkert",12980,533
"hårdt",12971,534
"fedt",12957,535
"agent",12955,536
"dagen",12951,537
"smuk",12876,538
"kaptajn",12860,539
"forstå",12848,540
"elskede",12844,541
"slut",12823,542
"forældre",12803,543
"lov",12766,544
"sætte",12764,545
"fortalt",12731,546
"muligt",12689,547
"kærlighed",12668,548
"lever",12652,549
"sam",12602,550
"mening",12570,551
"hvert",12567,552
"hjerte",12456,553
"chef",12450,554
"sætter",12397,555
"foran",12383,556
"vigtigt",12381,557
"ligeglad",12350,558
"arbejdet",12328,559
"sjov",12292,560
"perfekt",12286,561
"små",12261,562
"luk",12249,563
"uger",12238,564
"forstået",12205,565
"lover",12197,566
"aner",12192,567
"slip",12191,568
"sag",12139,569
"vis",12070,570
"lyst",12064,571
"viser",12033,572
"fred",12027,573
"dollars",12026,574
"værre",12018,575
"aftale",12010,576
"sidst",12003,577
"find",11978,578
"spørger",11960,579
"steder",11959,580
