word,frequency,rank
"det",9978260,1
"du",7711329,2
"jeg",6793621,3
"er",6604802,4
"en",4087708,5
"ikke",3836514,6
"har",3609677,7
"jag",3603432,8
"vi",3368065,9
"på",3104956,10
"og",2568103,11
"med",2521422,12
"han",2423910,13
"at",2396783,14
"var",2258471,15
"så",2249148,16
"den",2076847,17
"kan",2036945,18
"de",2011023,19
"til",1907609,20
"att",1883006,21
"som",1872357,22
"inte",1838871,23
"om",1785070,24
"mig",1756670,25
"dig",1668135,26
"for",1636248,27
"men",1500241,28
"och",1322096,29
"ja",1202122,30
"vil",1186724,31
"der",1130900,32
"skal",1001922,33
"min",991849,34
"et",969424,35
"her",947230,36
"för",902093,37
"av",875311,38
"nu",874816,39
"vad",865114,40
"din",851832,41
"nej",792883,42
"kom",791018,43
"af",775858,44
"här",761001,45
"hun",752562,46
"deg",684136,47
"dem",668039,48
"bare",659045,49
"vet",657179,50
"meg",651818,51
"kommer",647572,52
"ham",644795,53
"till",638172,54
"må",630526,55
"ved",625391,56
"se",585877,57
"være",551784,58
"ville",519771,59
"tror",516469,60
"skulle",497382,61
"eller",496698,62
"får",494260,63
"ett",491626,64
"ni",484607,65
"man",484582,66
"fra",481051,67
"ingen",475488,68
"ska",473181,69
"få",468620,70
"går",455057,71
"gå",453269,72
"ha",448319,73
"ut",448121,74
"oss",423660,75
"noget",421703,76
"vill",413299,77
"hon",411095,78
"da",394146,79
"dette",384381,80
"sig",382681,81
"alle",370866,82
"ta",370063,83
"ser",369604,84
"bra",367785,85
"vorfor",364562,86
"godt",350710,87
"bara",350582,88
"vordan",342290,89
"hur",334503,90
"nå",325014,91
"hans",323600,92
"os",322860,93
"ud",320518,94
"där",305509,95
"sa",304893,96
"henne",303319,97
"alt",302554,98
"måste",301704,99
"honom",299078,100
"have",295398,101
"når",291543,102
"dere",285944,103
"efter",285393,104
"gjorde",281942,105
"gör",281718,106
"noe",280849,107
"igen",280298,108
"nei",277375,109
"hej",275800,110
"kunne",272754,111
"jo",270595,112
"aldrig",264502,113
"när",262594,114
"gør",260375,115
"då",254742,116
"nok",252433,117
"okay",244096,118
"blir",243054,119
"dag",239387,120
"også",229694,121
"bli",229653,122
"vara",228469,123
"lige",222809,124
"to",221638,125
"op",216631,126
"over",215470,127
"selv",212498,128
"hende",211978,129
"god",211006,130
"tak",210225,131
"far",208099,132
"göra",207793,133
"varför",206802,134
"blev",204615,135
"helt",203921,136
"mitt",203703,137
"okej",197478,138
"denne",195196,139
"tid",194522,140
"gøre",194406,141
"hade",193061,142
"gjør",192579,143
"sammen",191162,144
"från",190087,145
"folk",188862,146
"lad",187055,147
"meget",187008,148
"alla",185264,149
"havde",184979,150
"mer",184797,151
"før",184389,152
"tar",182426,153
"gjort",177794,154
"dit",175712,155
"noen",175144,156
"allt",173549,157
"mine",169216,158
"ned",169063,159
"upp",168921,160
"bliver",167938,161
"hele",167874,162
"mor",165739,163
"tack",164550,164
"sagde",164363,165
"in",164195,166
"deres",163915,167
"tre",162903,168
"igjen",161941,169
"tilbage",161693,170
"gang",160115,171
"vel",158824,172
"komme",157467,173
"fordi",156135,174
"liv",156000,175
"måske",155152,176
"ditt",154961,177
"sin",150500,178
"nåt",148394,179
"vem",147339,180
"mit",144728,181
"hold",144083,182
"lite",143306,183
"ind",142726,184
"siden",142615,185
"vores",141553,186
"mere",140111,187
"andre",139801,188
"nogen",138404,189
"lidt",138229,190
"gjøre",136988,191
"tog",136120,192
"opp",135408,193
"seg",135317,194
"siger",135192,195
"mange",135093,196
"mot",134955,197
"mycket",134858,198
"kun",134064,199
"hadde",134062,200
"kanske",133286,201
"dine",132099,202
"sådan",131507,203
