word,frequency,rank
"jeg",2069150,1
"det",1979613,2
"er",1826440,3
"du",1605909,4
"ikke",1170584,5
"en",793071,6
"og",779801,7
"har",721357,8
"vi",677013,9
"på",653123,10
"til",566187,11
"deg",526117,12
"med",516295,13
"meg",499883,14
"han",495561,15
"for",491081,16
"hva",490108,17
"som",449072,18
"at",441524,19
"så",424592,20
"kan",397523,21
"de",392343,22
"den",376287,23
"var",370618,24
"vil",334135,25
"om",330004,26
"av",328202,27
"men",300649,28
"skal",286943,29
"et",259006,30
"ja",254527,31
"her",231520,32
"hun",225743,33
"bare",224283,34
"dette",220467,35
"dere",219907,36
"må",217969,37
"noe",216038,38
"nei",213225,39
"vet",213037,40
"nå",198959,41
"ham",182021,42
"min",177201,43
"ut",176899,44
"kom",168455,45
"da",165335,46
"din",163387,47
"oss",157681,48
"ha",150801,49
"gjør",148138,50
"hvor",143314,51
"fra",143094,52
"være",140255,53
"noen",134726,54
"der",128795,55
"dem",127888,56
"igjen",124570,57
"se",122749,58
"ta",119649,59
"ville",119352,60
"kommer",113936,61
"alle",112776,62
"går",111624,63
"alt",109451,64
"tror",107702,65
"hvorfor",107037,66
"hvordan",106421,67
"få",106364,68
"gjøre",105375,69
"hvis",104363,70
"opp",104011,71
"seg",103938,72
"ingen",103152,73
"hadde",103032,74
"sa",100192,75
"bra",99371,76
"henne",98861,77
"får",98471,78
"når",98152,79
"blir",97010,80
"takk",96518,81
"gå",93824,82
"eller",92926,83
"bli",91501,84
"si",89951,85
"ser",88187,86
"hvem",87389,87
"la",86687,88
"hei",85407,89
"litt",82734,90
"inn",82693,91
"etter",81759,92
"ble",78678,93
"denne",78159,94
"kanskje",74728,95
"tilbake",74675,96
"aldri",72723,97
"vel",72247,98
"ok",71346,99
"skulle",70899,100
"jo",70806,101
"trenger",68748,102
"to",66711,103
"sier",65166,104
"kunne",65083,105
"vært",63152,106
"mer",63058,107
"også",62812,108
"før",62800,109
"over",62260,110
"man",61812,111
"tar",60462,112
"mye",59798,113
"selv",59552,114
"god",58932,115
"gi",58423,116
"nok",57794,117
"mitt",56379,118
"hans",56130,119
"sammen",54941,120
"gjorde",54749,121
"dag",53086,122
"enn",52502,123
"gang",52114,124
"andre",51337,125
"vær",49837,126
"fikk",49781,127
"ned",49646,128
"sett",49508,129
"mine",48792,130
"greit",48464,131
"siden",47531,132
"ditt",46929,133
"helt",45638,134
"mot",44810,135
"faen",43446,136
"hele",43234,137
"deres",43202,138
"snakke",42690,139
"komme",42572,140
"godt",41704,141
"ved",40774,142
"fordi",40082,143
"gjort",39696,144
"dra",39693,145
"rett",39303,146
"liker",38992,147
"mann",38924,148
"folk",38864,149
"alltid",38123,150
"mener",38074,151
"mange",37791,152
"dine",37630,153
"sånn",37609,154
"sant",37108,155
"ting",36810,156
"tok",36531,157
"vent",35456,158
"vår",35342,159
"hjem",35219,160
"tre",34887,161
"finne",34343,162
"unnskyld",34191,163
"beklager",34064,164
"veldig",33903,165
"hold",33564,166
"burde",33054,167
"tid",32927,168
"ingenting",32508,169
"trodde",32306,170
"uten",32118,171
"hit",31880,172
"bedre",31797,173
"gikk",31778,174
"hjelpe",31143,175
"morgen",30504,176
"livet",30333,177
"akkurat",30049,178
"vite",29944,179
"kveld",29706,180
"visste",29471,181
"virkelig",29257,182
"elsker",28903,183
"skjer",28787,184
"slik",28720,185
"lenge",28718,186
"snakker",28673,187
"sir",28656,188
"kjenner",28493,189
"sin",28151,190
"samme",27845,191
"står",27366,192
"far",27281,193
"ute",27099,194
"første",26891,195
"hjelp",26299,196
"feil",26267,197
"snill",26235,198
"død",26214,199
"herregud",25910,200
"forstår",25783,201
"disse",25452,202
"pappa",25346,203
"gir",24970,204
"siste",24840,205
"hennes",24633,206
"mamma",24404,207
"helvete",24366,208
"fant",24102,209
"eneste",23971,210
"hør",23239,211
"under",23047,212
"sted",22983,213
"blitt",22960,214
"barn",22745,215
"vei",22704,216
"bør",22629,217
"klar",22573,218
"holder",22484,219
"heter",22436,220
"skjedde",22359,221
"slutt",22287,222
"visst",22187,223
"prøver",22086,224
"penger",21930,225
"drepe",21787,226
"fint",21771,227
"hallo",21525,228
"tro",21485,229
"husker",21203,230
"drar",21122,231
"døde",21102,232
"borte",21065,233
"mor",20985,234
