word,frequency,rank
"jag",4502420,1
"det",4154251,2
"du",3208690,3
"att",2353393,4
"inte",2298512,5
"en",1718549,6
"och",1652461,7
"har",1474196,8
"vi",1467948,9
"på",1409546,10
"för",1127397,11
"han",1050573,12
"med",1025699,13
"som",1024489,14
"om",1003714,15
"var",998455,16
"vad",982835,17
"mig",961360,18
"här",951219,19
"dig",917029,20
"så",866454,21
"den",841780,22
"kan",811884,23
"till",797353,24
"de",730079,25
"men",644322,26
"ett",592611,27
"ska",590557,28
"ni",589595,29
"av",555980,30
"hon",513821,31
"vill",512894,32
"ja",476892,33
"vet",475241,34
"nu",468404,35
"nej",441289,36
"bara",438016,37
"hur",417875,38
"min",411386,39
"kommer",391428,40
"där",381886,41
"måste",377081,42
"honom",373848,43
"gör",352092,44
"din",346499,45
"skulle",333132,46
"när",327989,47
"då",318186,48
"kom",313020,49
"ha",303093,50
"bra",298036,51
"får",286696,52
"man",286209,53
"vara",285586,54
"oss",273279,55
"ut",272642,56
"ta",265488,57
"er",262228,58
"göra",259741,59
"okej",246848,60
"eller",239030,61
"hade",238052,62
"från",237609,63
"varför",235002,64
"dem",234982,65
"alla",231459,66
"tror",218779,67
"sig",218304,68
"allt",216817,69
"henne",212063,70
"upp",211151,71
"sa",209402,72
"ingen",207353,73
"tack",205687,74
"gå",202028,75
"in",200764,76
"igen",199233,77
"få",191442,78
"nåt",185493,79
"se",184513,80
"går",176067,81
"mycket",168573,82
"hej",167727,83
"vem",167431,84
"kanske",166533,85
"lite",165976,86
"behöver",164076,87
"ser",163271,88
"mitt",162963,89
"aldrig",158759,90
"finns",154402,91
"inget",149545,92
"efter",149364,93
"blir",145389,94
"ju",139856,95
"hans",139199,96
"sen",137324,97
"bli",136674,98
"gjorde",133400,99
"två",132774,100
"nån",131576,101
"tillbaka",130100,102
"tar",129339,103
"mer",128055,104
"något",126866,105
"säger",121598,106
"fick",117534,107
"ditt",117441,108
"ge",113651,109
"väl",112922,110
"också",111638,111
"mina",110555,112
"nog",105984,113
"fan",104245,114
"kunde",103697,115
"säga",102512,116
"någon",101246,117
"mamma",100633,118
"varit",99592,119
"ner",98409,120
"ville",96604,121
"vänta",96277,122
"mot",95878,123
"pappa",95623,124
"andra",95569,125
"borde",94741,126
"känner",93285,127
"rätt",91879,128
"vid",90237,129
"några",89862,130
"hela",89610,131
"såg",87131,132
"hit",86634,133
"prata",85587,134
"komma",85007,135
"låt",84509,136
"detta",83598,137
"gjort",83421,138
"blev",82610,139
"själv",82130,140
"tog",81259,141
"alltid",81111,142
"vår",80583,143
"utan",80052,144
"fel",79194,145
"hem",79107,146
"mr",79005,147
"dag",78540,148
"dina",77774,149
"liv",77503,150
"menar",77080,151
"verkligen",76800,152
"visst",74071,153
"va",72922,154
"förstår",72651,155
"sin",72526,156
"tid",72267,157
"trodde",72002,158
"gick",71272,159
"sätt",70597,160
"berätta",70173,161
"tänker",70017,162
"döda",69840,163
"veta",69746,164
"tre",69234,165
"många",68236,166
"folk",68136,167
"sluta",67549,168
"precis",67504,169
"inga",66621,170
"hennes",65883,171
"titta",65706,172
"innan",65366,173
"visste",64996,174
"gillar",64882,175
"barn",64861,176
"bättre",64855,177
"hjälpa",64652,178
"under",64277,179
"förlåt",63434,180
"gång",63330,181
"bort",63122,182
"hjälp",62522,183
"händer",61683,184
"just",61267,185
"helt",60740,186
"säg",60567,187
"tycker",60507,188
"första",58369,189
"död",58070,190
"håll",57613,191
"länge",57584,192
"hör",57478,193
"sett",57304,194
"ledsen",56267,195
"snälla",56265,196
"saker",55927,197
"hitta",55159,198
"fortfarande",53646,199
"står",52858,200
"pengar",52745,201
"god",52677,202
"samma",52341,203
"sir",52288,204
"ens",52121,205
"ursäkta",51821,206
"heter",51455,207
"håller",51407,208
"vilken",50765,209
"enda",50593,210
"gud",50211,211
"våra",49950,212
"hand",49729,213
"borta",49587,214
"mår",49393,215
"hallå",49367,216
"hände",49220,217
"ur",48970,218
"problem",48487,219
"vän",48435,220
"ger",48082,221
"stanna",48020,222
"sak",47933,223
"dom",47516,224
"försöker",47441,225
"låter",47400,226
"far",47214,227
"kvar",46818,228
"väg",46619,229
"annan",46000,230
"redan",45878,231
"längre",45839,232
"jävla",45796,233
"helvete",45284,234
"pratar",45095,235
"väldigt",45091,236
"herregud",44734,237
"vart",44712,238
"dit",44485,239
"kväll",44106,240
"morgon",43780,241
"fått",43334,242
"snart",42927,243
"ute",42847,244
"fråga",42799,245
"sitt",42698,246
"tiden",42621,247
"kör",42387,248
"deras",42311,249
"tänkte",42196,250
"namn",41854,251
"verkar",41726,252
"tro",41463,253
"jo",41294,254
"varje",41079,255
"fram",40992,256
"bästa",40932,257
"fru",40689,258
"först",40518,259
"träffa",40333,260
"säkert",40115,261
"slut",39970,262
"sedan",39894,263
"hos",39728,264
"ingenting",39663,265
"därför",39580,266
"visa",39230,267
"säker",39108,268
"lämna",39049,269
"börjar",38986,270
"vägen",38972,271
"genom",38948,272
"gav",38682,273
"härifrån",38522,274
"jobb",38448,275
"hålla",38066,276
"son",37905,277
"stor",37862,278
"vänner",37807,279
"hittade",37788,280
"annat",37705,281
"hoppas",36858,282
"sina",36731,283
"hörde",36713,284
"vilket",36692,285
"kolla",36672,286
"minns",36632,287
"ihop",36598,288
"rädd",36594,289
"sista",35987,290
"era",35656,291
"sex",35622,292
"vårt",35525,293
"kunna",35359,294
"ses",35181,295
"del",35128,296
"nästa",34986,297
"fem",34790,298
"livet",34755,299
"nya",34738,300
"människor",34089,301
"bilen",33981,302
"dö",33561,303
"riktigt",33524,304
"klarar",33476,305
"höra",33313,306
"tills",33192,307
"liten",33146,308
"betyder",32990,309
"tänk",32930,310
"tag",32927,311
"lyssna",32860,312
"polisen",32564,313
"sagt",32485,314
"hemma",32389,315
"sant",32382,316
"världen",32222,317
"fast",32110,318
"faktiskt",32077,319
"ligger",32051,320
"skit",31787,321
"idag",31579,322
"minuter",31375,323
"familj",31345,324
"runt",31323,325
"blivit",31294,326
"klart",30846,327
"fall",30767,328
"väntar",30718,329
"dog",30570,330
"fyra",30506,331
"dra",30393,332
"dollar",30245,333
"kul",30204,334
"tala",30109,335
"illa",29862,336
"män",29747,337
"försökte",29741,338
"dödade",29696,339
"helst",29696,340
"annars",29687,341
"haft",29678,342
"sånt",29674,343
"nästan",29665,344
"ensam",29582,345
"inne",29164,346
"lika",28862,347
"lägg",28840,348
"hittar",28724,349
"redo",28699,350
"hämta",28582,351
"jobbar",28550,352
"dr",28502,353
"gången",28431,354
"båda",28382,355
"ny",28338,356
"denna",28203,357
"stora",28103,358
"plats",27948,359
"tur",27939,360
"börja",27799,361
"svårt",27768,362
"lugnt",27698,363
"långt",27653,364
"spelar",27562,365
"kvinna",27456,366
"känns",27410,367
"hänt",27251,368
"bil",27178,369
"emot",27170,370
"låta",26928,371
"tillsammans",26908,372
"släpp",26833,373
"hört",26827,374
"huset",26650,375
"senare",26383,376
"bror",26354,377
"ringer",26327,378
"lilla",26317,379
"be",26171,380
"rör",26144,381
"ibland",26069,382
"rädda",26035,383
"heller",26025,384
"fort",26008,385
"glad",26005,386
"gått",25951,387
"mellan",25919,388
"nära",25870,389
"ifrån",25763,390
"hus",25599,391
"vore",25494,392
"igenom",25445,393
"fler",25411,394
"kände",25196,395
"vilka",25180,396
"dotter",24994,397
"bryr",24927,398
"dagar",24807,399
"kille",24591,400
"tänka",24513,401
"bor",24461,402
"fattar",24363,403
"gärna",24340,404
"fanns",24334,405
"ber",24326,406
"började",24232,407
